Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BTC
6/23/2019,XRPBTC,4.44E-05,4.50E-05,4.28E-05,4.32E-05,10904476.34,477.47
6/22/2019,XRPBTC,4.36E-05,4.61E-05,4.13E-05,4.44E-05,29823488.77,1301.87
6/21/2019,XRPBTC,4.52E-05,4.59E-05,4.35E-05,4.36E-05,5137865.93,230.81
6/20/2019,XRPBTC,4.69E-05,4.69E-05,4.40E-05,4.52E-05,3837841.25,173.95
6/19/2019,XRPBTC,4.71E-05,4.81E-05,4.67E-05,4.69E-05,2786382.13,131.71
6/18/2019,XRPBTC,4.80E-05,4.89E-05,4.67E-05,4.71E-05,4688677.69,224.13
6/17/2019,XRPBTC,4.77E-05,4.99E-05,4.59E-05,4.80E-05,10172063.88,488.04
6/16/2019,XRPBTC,4.64E-05,4.83E-05,4.51E-05,4.77E-05,5896118.6,273.57
6/15/2019,XRPBTC,4.64E-05,4.76E-05,4.62E-05,4.64E-05,2228657.23,104.36
6/14/2019,XRPBTC,4.86E-05,4.86E-05,4.62E-05,4.64E-05,3292645.52,156.02
6/13/2019,XRPBTC,4.93E-05,5.03E-05,4.84E-05,4.86E-05,2879756.04,142.2
6/12/2019,XRPBTC,4.97E-05,4.98E-05,4.88E-05,4.93E-05,1703454.58,83.91
6/11/2019,XRPBTC,5.00E-05,5.02E-05,4.92E-05,4.97E-05,1677202.36,83.44
6/10/2019,XRPBTC,5.04E-05,5.08E-05,4.98E-05,5.00E-05,2169988.65,109.23
6/9/2019,XRPBTC,5.16E-05,5.20E-05,4.82E-05,5.04E-05,6728514.46,336.27
6/8/2019,XRPBTC,5.25E-05,5.28E-05,5.14E-05,5.16E-05,2993431.75,156.22
6/7/2019,XRPBTC,5.38E-05,5.42E-05,5.23E-05,5.25E-05,4541171.15,241.35
6/6/2019,XRPBTC,5.15E-05,5.52E-05,5.12E-05,5.38E-05,8046794.81,433.21
6/5/2019,XRPBTC,5.18E-05,5.20E-05,5.08E-05,5.15E-05,2945166.16,151.1
6/4/2019,XRPBTC,5.13E-05,5.22E-05,5.01E-05,5.18E-05,5352203.6,274.45
6/3/2019,XRPBTC,5.09E-05,5.34E-05,5.07E-05,5.13E-05,6275125.69,326.64
6/2/2019,XRPBTC,5.02E-05,5.12E-05,5.02E-05,5.09E-05,2334301.59,118.14
6/1/2019,XRPBTC,5.12E-05,5.15E-05,4.92E-05,5.02E-05,3150783.14,159.29
5/31/2019,XRPBTC,5.06E-05,5.15E-05,5.00E-05,5.12E-05,3677721.41,186.27
5/30/2019,XRPBTC,5.12E-05,5.40E-05,4.95E-05,5.06E-05,16782971.95,866.06
5/29/2019,XRPBTC,5.14E-05,5.27E-05,4.97E-05,5.12E-05,10308650.01,527.51
5/28/2019,XRPBTC,4.95E-05,5.31E-05,4.81E-05,5.14E-05,22396159.52,1119.18
5/27/2019,XRPBTC,4.69E-05,5.02E-05,4.66E-05,4.95E-05,7876896.9,378.34
5/26/2019,XRPBTC,4.80E-05,4.81E-05,4.61E-05,4.69E-05,4272822.48,200.65
5/25/2019,XRPBTC,4.81E-05,4.87E-05,4.76E-05,4.80E-05,1168716.61,56.36
5/24/2019,XRPBTC,4.84E-05,4.91E-05,4.75E-05,4.81E-05,2258330.91,109.32
5/23/2019,XRPBTC,4.88E-05,4.90E-05,4.77E-05,4.84E-05,1810101.37,87.39
5/22/2019,XRPBTC,5.00E-05,5.15E-05,4.80E-05,4.88E-05,6635790.82,326.74
5/21/2019,XRPBTC,4.99E-05,5.13E-05,4.92E-05,5.00E-05,2338306.42,117.08
5/20/2019,XRPBTC,5.10E-05,5.11E-05,4.95E-05,4.99E-05,4082932.67,205.33
5/19/2019,XRPBTC,5.12E-05,5.29E-05,4.92E-05,5.10E-05,6192009.32,314.13
5/18/2019,XRPBTC,5.28E-05,5.32E-05,5.05E-05,5.12E-05,3537379.17,181.87
5/17/2019,XRPBTC,5.32E-05,5.37E-05,5.03E-05,5.28E-05,9747169.95,509.78
5/16/2019,XRPBTC,5.60E-05,5.78E-05,5.02E-05,5.32E-05,24528853.64,1320.28
5/15/2019,XRPBTC,5.11E-05,5.71E-05,5.05E-05,5.60E-05,29811864.14,1596.56
5/14/2019,XRPBTC,4.15E-05,5.24E-05,4.08E-05,5.11E-05,51590859.4,2500.78
5/13/2019,XRPBTC,4.45E-05,4.65E-05,4.03E-05,4.15E-05,11578670.64,496.12
5/12/2019,XRPBTC,4.48E-05,4.52E-05,4.26E-05,4.45E-05,7129731.46,313.01
5/11/2019,XRPBTC,4.69E-05,4.83E-05,4.33E-05,4.48E-05,14003311.35,638.86
5/10/2019,XRPBTC,4.77E-05,4.84E-05,4.61E-05,4.69E-05,5258847.76,247.97
5/9/2019,XRPBTC,5.01E-05,5.01E-05,4.73E-05,4.77E-05,3350031.51,162.93
5/8/2019,XRPBTC,5.11E-05,5.14E-05,5.00E-05,5.01E-05,1944023.17,98.68
5/7/2019,XRPBTC,5.27E-05,5.28E-05,5.09E-05,5.11E-05,697743.43,35.91
5/6/2019,XRPBTC,5.20E-05,5.34E-05,5.20E-05,5.27E-05,1525417.38,80.41
5/5/2019,XRPBTC,5.20E-05,5.25E-05,5.17E-05,5.20E-05,452252.01,23.58
5/4/2019,XRPBTC,5.33E-05,5.41E-05,5.17E-05,5.20E-05,2018475.42,106.54
5/3/2019,XRPBTC,5.50E-05,5.52E-05,5.19E-05,5.33E-05,3389086.75,180.58
5/2/2019,XRPBTC,5.63E-05,5.64E-05,5.46E-05,5.50E-05,1468057.84,81.38
5/1/2019,XRPBTC,5.79E-05,5.80E-05,5.61E-05,5.63E-05,1268213.13,71.96
4/30/2019,XRPBTC,5.59E-05,5.95E-05,5.58E-05,5.79E-05,4235518.11,244.75
4/29/2019,XRPBTC,5.63E-05,5.66E-05,5.56E-05,5.59E-05,3199098.55,179.17
4/28/2019,XRPBTC,5.65E-05,5.68E-05,5.60E-05,5.63E-05,3009188.18,169.46
4/27/2019,XRPBTC,5.70E-05,5.74E-05,5.58E-05,5.65E-05,1474729.33,83.46
4/26/2019,XRPBTC,5.58E-05,5.73E-05,5.51E-05,5.70E-05,4598945.88,257.35
4/25/2019,XRPBTC,5.53E-05,5.67E-05,5.48E-05,5.58E-05,7417037.13,412.85
4/24/2019,XRPBTC,5.79E-05,5.79E-05,5.34E-05,5.53E-05,25563079.42,1397.49
4/23/2019,XRPBTC,6.02E-05,6.03E-05,5.76E-05,5.79E-05,4942977.23,289.49
4/22/2019,XRPBTC,6.07E-05,6.30E-05,5.98E-05,6.02E-05,3751043.84,229.42
4/21/2019,XRPBTC,6.17E-05,6.18E-05,6.02E-05,6.07E-05,3585687.89,217.42
4/20/2019,XRPBTC,6.27E-05,6.27E-05,6.13E-05,6.17E-05,1707911.73,105.81
4/19/2019,XRPBTC,6.38E-05,6.38E-05,6.25E-05,6.27E-05,1698014.82,106.87
4/18/2019,XRPBTC,6.42E-05,6.58E-05,6.35E-05,6.38E-05,2305153.68,148.49
4/17/2019,XRPBTC,6.26E-05,6.55E-05,6.17E-05,6.42E-05,7131985.89,452.78
4/16/2019,XRPBTC,6.35E-05,6.35E-05,6.19E-05,6.26E-05,2998703.79,187.44
4/15/2019,XRPBTC,6.38E-05,6.43E-05,6.27E-05,6.35E-05,3072224.99,194.55
4/14/2019,XRPBTC,6.44E-05,6.51E-05,6.34E-05,6.38E-05,749283.2,47.98
4/13/2019,XRPBTC,6.41E-05,6.60E-05,6.38E-05,6.44E-05,3375799.67,217.38
4/12/2019,XRPBTC,6.52E-05,6.54E-05,6.39E-05,6.41E-05,2894072.28,186.82
4/11/2019,XRPBTC,6.67E-05,6.67E-05,6.26E-05,6.52E-05,16495238.57,1069.57
4/10/2019,XRPBTC,6.74E-05,6.88E-05,6.55E-05,6.67E-05,6509614.32,435.6
4/9/2019,XRPBTC,6.79E-05,6.83E-05,6.72E-05,6.74E-05,4571028.21,309.63
4/8/2019,XRPBTC,6.99E-05,7.06E-05,6.78E-05,6.79E-05,9462377,648.36
4/7/2019,XRPBTC,6.99E-05,7.24E-05,6.94E-05,6.99E-05,14267678.79,1005.67
4/6/2019,XRPBTC,7.22E-05,7.24E-05,6.91E-05,6.99E-05,15047070.07,1066.56
4/5/2019,XRPBTC,6.74E-05,7.60E-05,6.71E-05,7.22E-05,15398424.32,1128.47
4/4/2019,XRPBTC,6.88E-05,6.91E-05,6.65E-05,6.74E-05,5841685.18,396.24
4/3/2019,XRPBTC,7.22E-05,7.41E-05,6.72E-05,6.88E-05,25401076.42,1801.74
4/2/2019,XRPBTC,7.55E-05,7.65E-05,6.68E-05,7.22E-05,23764664.35,1682.83
4/1/2019,XRPBTC,7.53E-05,7.59E-05,7.50E-05,7.55E-05,1009874.12,76.23
3/19/2019,XRPBTC,7.89E-05,7.89E-05,7.85E-05,7.87E-05,35353.99,2.78
3/18/2019,XRPBTC,7.92E-05,7.94E-05,7.83E-05,7.89E-05,6913898.58,545.34
3/17/2019,XRPBTC,7.96E-05,7.96E-05,7.91E-05,7.92E-05,4160688.18,329.93
3/16/2019,XRPBTC,8.02E-05,8.09E-05,7.90E-05,7.96E-05,4736577.92,378
3/15/2019,XRPBTC,8.03E-05,8.05E-05,8.00E-05,8.02E-05,3204421.65,257.05
3/14/2019,XRPBTC,8.11E-05,8.16E-05,7.96E-05,8.03E-05,5390468.52,433.55
3/13/2019,XRPBTC,8.00E-05,8.37E-05,7.99E-05,8.11E-05,7803461.59,631.75
3/12/2019,XRPBTC,8.01E-05,8.05E-05,7.97E-05,8.00E-05,3123106.99,249.95
3/11/2019,XRPBTC,7.99E-05,8.08E-05,7.94E-05,8.01E-05,3367462.43,269.95
3/10/2019,XRPBTC,7.96E-05,8.10E-05,7.92E-05,7.99E-05,1193637.98,95.66
3/9/2019,XRPBTC,7.97E-05,8.17E-05,7.94E-05,7.96E-05,1574262.67,126.2
3/8/2019,XRPBTC,8.09E-05,8.10E-05,7.95E-05,7.97E-05,4791225.79,384.9
3/7/2019,XRPBTC,8.20E-05,8.22E-05,8.08E-05,8.09E-05,772929.24,62.83
3/6/2019,XRPBTC,8.16E-05,8.31E-05,8.10E-05,8.20E-05,2658931.93,218.08
3/5/2019,XRPBTC,8.14E-05,8.25E-05,8.12E-05,8.16E-05,2782667.03,227.93
3/4/2019,XRPBTC,8.17E-05,8.20E-05,8.04E-05,8.14E-05,2368277.37,192.44
3/3/2019,XRPBTC,8.22E-05,8.24E-05,8.13E-05,8.17E-05,1280686.77,104.77
3/2/2019,XRPBTC,8.26E-05,8.30E-05,8.16E-05,8.22E-05,1814331.54,149.36
3/1/2019,XRPBTC,8.23E-05,8.40E-05,8.16E-05,8.26E-05,2767490.01,230.08
2/28/2019,XRPBTC,8.14E-05,8.28E-05,8.07E-05,8.23E-05,3996064.59,325.7
2/27/2019,XRPBTC,8.33E-05,8.33E-05,8.11E-05,8.14E-05,3526657.28,288.58
2/26/2019,XRPBTC,8.56E-05,8.72E-05,8.26E-05,8.33E-05,6068436.92,509.7
2/25/2019,XRPBTC,7.94E-05,8.79E-05,7.88E-05,8.56E-05,13295646.6,1114.9
2/24/2019,XRPBTC,8.08E-05,8.29E-05,7.84E-05,7.94E-05,17728992.52,1420.43
2/23/2019,XRPBTC,8.10E-05,8.15E-05,7.97E-05,8.08E-05,3393618.16,273.7
2/22/2019,XRPBTC,8.14E-05,8.17E-05,8.03E-05,8.10E-05,1716060.74,138.87
2/21/2019,XRPBTC,8.36E-05,8.36E-05,8.01E-05,8.14E-05,5090452.74,414.02
2/20/2019,XRPBTC,8.26E-05,8.42E-05,8.16E-05,8.36E-05,2925833.63,242.32
2/19/2019,XRPBTC,8.27E-05,8.87E-05,8.24E-05,8.26E-05,9065565.15,770.02
2/18/2019,XRPBTC,8.28E-05,8.45E-05,8.18E-05,8.27E-05,6007627.94,498.29
2/17/2019,XRPBTC,8.33E-05,8.35E-05,8.21E-05,8.28E-05,1964890.02,162.8
2/16/2019,XRPBTC,8.38E-05,8.39E-05,8.29E-05,8.33E-05,578887.65,48.24
2/15/2019,XRPBTC,8.38E-05,8.42E-05,8.30E-05,8.38E-05,1699386.67,142.3
2/14/2019,XRPBTC,8.42E-05,8.46E-05,8.35E-05,8.38E-05,1156188.91,97.12
2/13/2019,XRPBTC,8.40E-05,8.60E-05,8.35E-05,8.42E-05,2294337.25,193.13
2/12/2019,XRPBTC,8.33E-05,8.44E-05,8.28E-05,8.40E-05,3107863.98,258.97
2/11/2019,XRPBTC,8.43E-05,8.45E-05,8.32E-05,8.33E-05,1838069.44,153.76
2/10/2019,XRPBTC,8.54E-05,8.54E-05,8.28E-05,8.43E-05,3438147.98,287.34
2/9/2019,XRPBTC,8.53E-05,8.60E-05,8.46E-05,8.54E-05,2239749.62,190.81
2/8/2019,XRPBTC,8.59E-05,8.81E-05,8.44E-05,8.53E-05,4942430.85,424.86
2/7/2019,XRPBTC,8.50E-05,8.63E-05,8.49E-05,8.59E-05,1450487.17,124.38
2/6/2019,XRPBTC,8.62E-05,8.64E-05,8.49E-05,8.50E-05,2052384.63,175.59
2/5/2019,XRPBTC,8.64E-05,8.70E-05,8.57E-05,8.62E-05,5600239.74,482.04
2/4/2019,XRPBTC,8.74E-05,8.79E-05,8.59E-05,8.64E-05,4867871.88,423.47
2/3/2019,XRPBTC,8.85E-05,8.90E-05,8.65E-05,8.74E-05,1321336.07,115.99
2/2/2019,XRPBTC,8.84E-05,8.90E-05,8.79E-05,8.85E-05,2893572.61,256.76
2/1/2019,XRPBTC,9.00E-05,9.03E-05,8.67E-05,8.84E-05,6058525.03,534.11
1/31/2019,XRPBTC,9.30E-05,9.64E-05,8.88E-05,9.00E-05,7777842.63,720.37
1/30/2019,XRPBTC,8.41E-05,9.37E-05,8.34E-05,9.30E-05,17633217.32,1539.84
1/29/2019,XRPBTC,8.51E-05,8.55E-05,8.33E-05,8.41E-05,8056970.5,680.53
1/28/2019,XRPBTC,8.63E-05,8.65E-05,8.29E-05,8.51E-05,8241618.89,700.73
1/27/2019,XRPBTC,8.77E-05,8.80E-05,8.61E-05,8.63E-05,1885909.12,163.99
1/26/2019,XRPBTC,8.80E-05,8.81E-05,8.69E-05,8.77E-05,4714549.08,413.5
1/25/2019,XRPBTC,8.85E-05,8.86E-05,8.76E-05,8.80E-05,779012.46,68.67
1/24/2019,XRPBTC,8.86E-05,8.89E-05,8.77E-05,8.85E-05,2556496.06,225.95
1/23/2019,XRPBTC,8.89E-05,8.90E-05,8.83E-05,8.86E-05,3468158.6,307.77
1/22/2019,XRPBTC,9.00E-05,9.02E-05,8.84E-05,8.89E-05,6459099.53,575.72
1/21/2019,XRPBTC,8.95E-05,9.06E-05,8.92E-05,9.00E-05,3010467.95,270.43
1/20/2019,XRPBTC,8.90E-05,8.98E-05,8.81E-05,8.95E-05,3601308.12,320.68
1/19/2019,XRPBTC,8.91E-05,9.00E-05,8.80E-05,8.90E-05,4355282.94,388.74
1/18/2019,XRPBTC,9.00E-05,9.00E-05,8.84E-05,8.91E-05,1675459.7,149.52
1/17/2019,XRPBTC,9.06E-05,9.08E-05,8.93E-05,9.00E-05,3135957.19,282.63
1/16/2019,XRPBTC,9.05E-05,9.14E-05,9.01E-05,9.07E-05,2679363.67,242.73
1/15/2019,XRPBTC,9.07E-05,9.10E-05,8.95E-05,9.05E-05,2444202.79,220.45
1/14/2019,XRPBTC,8.96E-05,9.15E-05,8.96E-05,9.07E-05,5183820.11,469.71
1/13/2019,XRPBTC,9.09E-05,9.18E-05,8.91E-05,8.96E-05,3888263.36,351.31
1/12/2019,XRPBTC,9.05E-05,9.14E-05,9.01E-05,9.09E-05,863090.07,78.24
1/11/2019,XRPBTC,9.06E-05,9.19E-05,8.99E-05,9.05E-05,3735379.34,338.48
1/10/2019,XRPBTC,9.20E-05,9.50E-05,8.78E-05,9.06E-05,20797227.79,1898.14
1/9/2019,XRPBTC,9.12E-05,9.28E-05,9.05E-05,9.20E-05,5303863.4,485.02
1/8/2019,XRPBTC,9.06E-05,9.12E-05,8.98E-05,9.12E-05,4912362.52,443.92
1/7/2019,XRPBTC,9.03E-05,9.28E-05,8.98E-05,9.06E-05,3935037.42,357.93
1/6/2019,XRPBTC,9.24E-05,9.31E-05,9.00E-05,9.03E-05,8015918.01,737.43
1/5/2019,XRPBTC,9.30E-05,9.40E-05,9.11E-05,9.24E-05,6655238.79,616.81
1/4/2019,XRPBTC,9.36E-05,9.45E-05,9.25E-05,9.30E-05,6070944.35,567.22
1/3/2019,XRPBTC,9.56E-05,9.57E-05,9.31E-05,9.36E-05,2295222.95,215.76
1/2/2019,XRPBTC,9.50E-05,9.70E-05,9.42E-05,9.56E-05,2930267.07,279.91
1/1/2019,XRPBTC,9.42E-05,9.63E-05,9.38E-05,9.50E-05,1960993.85,186.98
12/31/2018,XRPBTC,9.60E-05,9.73E-05,9.36E-05,9.42E-05,4196975.83,398.27
12/30/2018,XRPBTC,9.65E-05,9.65E-05,9.51E-05,9.60E-05,2600043.08,248.74
12/29/2018,XRPBTC,9.65E-05,9.81E-05,9.47E-05,9.65E-05,5111655.03,492.48
12/28/2018,XRPBTC,9.36E-05,9.84E-05,9.24E-05,9.65E-05,8388071.69,799.28
12/27/2018,XRPBTC,9.85E-05,9.86E-05,9.20E-05,9.36E-05,7045723.31,671.89
12/26/2018,XRPBTC,0.0001003,0.0001017,9.62E-05,9.85E-05,5757506.5,565.27
12/25/2018,XRPBTC,1.00E-04,0.0001019,9.72E-05,0.0001003,7374938.97,732.81
12/24/2018,XRPBTC,9.33E-05,0.0001072,9.08E-05,1.00E-04,19311341.76,1948.11
12/23/2018,XRPBTC,9.04E-05,9.41E-05,9.01E-05,9.33E-05,4953854.52,456.48
12/22/2018,XRPBTC,9.23E-05,9.27E-05,9.01E-05,9.04E-05,3701930.46,337.81
12/21/2018,XRPBTC,9.19E-05,9.36E-05,9.05E-05,9.23E-05,7888395.16,725.24
12/20/2018,XRPBTC,9.41E-05,9.57E-05,9.09E-05,9.19E-05,9204533.76,861.47
12/19/2018,XRPBTC,9.57E-05,0.0001002,9.32E-05,9.41E-05,16048274.86,1566.21
12/18/2018,XRPBTC,9.31E-05,9.67E-05,9.31E-05,9.57E-05,8355877.64,790.79
12/17/2018,XRPBTC,8.87E-05,9.52E-05,8.81E-05,9.31E-05,12145552.54,1099.29
12/16/2018,XRPBTC,8.85E-05,9.05E-05,8.81E-05,8.87E-05,3517390.96,313.55
12/15/2018,XRPBTC,8.94E-05,8.98E-05,8.79E-05,8.85E-05,2582983.79,229.55
12/14/2018,XRPBTC,9.06E-05,9.12E-05,8.84E-05,8.94E-05,4198458.61,376.77
12/13/2018,XRPBTC,8.84E-05,9.10E-05,8.84E-05,9.06E-05,3767610.89,337.63
12/12/2018,XRPBTC,8.86E-05,8.95E-05,8.82E-05,8.84E-05,3137238.59,278.45
12/11/2018,XRPBTC,8.72E-05,9.04E-05,8.71E-05,8.85E-05,9389371.59,830.55
12/10/2018,XRPBTC,8.71E-05,8.75E-05,8.55E-05,8.72E-05,4139654.69,358.22
12/9/2018,XRPBTC,8.87E-05,8.88E-05,8.68E-05,8.71E-05,4630810.39,406.38
12/8/2018,XRPBTC,8.85E-05,9.28E-05,8.75E-05,8.87E-05,10233652.67,914.54
12/7/2018,XRPBTC,8.81E-05,9.04E-05,8.71E-05,8.85E-05,13285713.51,1175.86
12/6/2018,XRPBTC,9.00E-05,9.01E-05,8.61E-05,8.81E-05,9682715.69,857.07
12/5/2018,XRPBTC,8.91E-05,9.12E-05,8.82E-05,9.00E-05,4684856.82,421.32
12/4/2018,XRPBTC,8.96E-05,9.05E-05,8.84E-05,8.91E-05,3782874.2,338.13
12/3/2018,XRPBTC,8.91E-05,9.10E-05,8.87E-05,8.96E-05,5421500.04,487.91
12/2/2018,XRPBTC,8.88E-05,8.98E-05,8.77E-05,8.91E-05,3155810.47,279.81
12/1/2018,XRPBTC,9.03E-05,9.09E-05,8.75E-05,8.88E-05,3686884.36,329.53
11/30/2018,XRPBTC,8.88E-05,9.13E-05,8.74E-05,9.04E-05,5906411.6,527.28
11/29/2018,XRPBTC,9.20E-05,9.23E-05,8.66E-05,8.88E-05,10926051.2,973.38
11/28/2018,XRPBTC,9.43E-05,9.51E-05,9.13E-05,9.20E-05,9731646.86,901.76
11/27/2018,XRPBTC,9.42E-05,9.56E-05,9.20E-05,9.43E-05,7594892.59,712.03
11/26/2018,XRPBTC,9.36E-05,9.65E-05,9.18E-05,9.42E-05,11689601.58,1094.74
11/25/2018,XRPBTC,9.67E-05,9.67E-05,8.89E-05,9.36E-05,16403733.83,1499.94
11/24/2018,XRPBTC,9.38E-05,9.84E-05,9.27E-05,9.67E-05,11046374.49,1055.78
11/23/2018,XRPBTC,9.77E-05,9.79E-05,9.27E-05,9.38E-05,8268214.48,785.27
11/22/2018,XRPBTC,9.72E-05,9.86E-05,9.63E-05,9.77E-05,3355118.98,326.34
11/21/2018,XRPBTC,9.70E-05,9.86E-05,9.45E-05,9.72E-05,8254460.64,798.88
11/20/2018,XRPBTC,9.81E-05,0.0001051,8.97E-05,9.70E-05,37648017.36,3707.63
11/19/2018,XRPBTC,9.11E-05,0.000101,8.73E-05,9.81E-05,23136954.43,2173.87
11/18/2018,XRPBTC,8.84E-05,9.36E-05,8.80E-05,9.11E-05,15299206.71,1397.17
11/17/2018,XRPBTC,8.44E-05,9.00E-05,8.42E-05,8.84E-05,6237166.74,543.36
11/16/2018,XRPBTC,8.50E-05,8.59E-05,8.35E-05,8.44E-05,4744659.5,400.98
11/15/2018,XRPBTC,8.18E-05,8.62E-05,7.89E-05,8.50E-05,20298737.77,1669.26
11/14/2018,XRPBTC,8.03E-05,8.28E-05,7.00E-05,8.18E-05,46289276,3584.55
11/13/2018,XRPBTC,8.12E-05,8.27E-05,7.93E-05,8.03E-05,5146541.69,416.1
11/12/2018,XRPBTC,7.90E-05,8.28E-05,7.83E-05,8.12E-05,5459244.12,439.26
11/11/2018,XRPBTC,7.92E-05,7.95E-05,7.82E-05,7.90E-05,2343296.44,184.86
11/10/2018,XRPBTC,7.86E-05,8.01E-05,7.82E-05,7.92E-05,3037518.2,240.47
11/9/2018,XRPBTC,7.68E-05,8.05E-05,7.66E-05,7.86E-05,5077447.65,399.31
11/8/2018,XRPBTC,8.23E-05,8.28E-05,7.62E-05,7.68E-05,11645430.16,921.78
11/7/2018,XRPBTC,8.52E-05,8.53E-05,8.03E-05,8.23E-05,9527686.3,780.93
11/6/2018,XRPBTC,7.76E-05,8.76E-05,7.75E-05,8.52E-05,16157817.21,1336.81
11/5/2018,XRPBTC,7.25E-05,7.81E-05,7.17E-05,7.76E-05,7561921.97,561.84
11/4/2018,XRPBTC,7.15E-05,7.38E-05,7.08E-05,7.25E-05,5652419.27,407.91
11/3/2018,XRPBTC,7.20E-05,7.21E-05,7.14E-05,7.16E-05,1622676.18,116.48
11/2/2018,XRPBTC,7.19E-05,7.26E-05,7.17E-05,7.20E-05,3492777.38,252.09
11/1/2018,XRPBTC,7.13E-05,7.20E-05,7.08E-05,7.19E-05,2632995.03,187.99
10/31/2018,XRPBTC,7.06E-05,7.18E-05,7.00E-05,7.13E-05,2693547.31,190.64
10/30/2018,XRPBTC,7.01E-05,7.12E-05,7.00E-05,7.07E-05,3903462.7,274.98
10/29/2018,XRPBTC,7.16E-05,7.16E-05,6.89E-05,7.02E-05,4397139.8,308.6
10/28/2018,XRPBTC,7.08E-05,7.18E-05,7.07E-05,7.16E-05,1248945.87,88.99
10/27/2018,XRPBTC,7.14E-05,7.14E-05,6.94E-05,7.08E-05,17300200.62,1215.43
10/26/2018,XRPBTC,7.10E-05,7.15E-05,6.97E-05,7.14E-05,7561209.72,533.73
10/25/2018,XRPBTC,7.07E-05,7.20E-05,7.03E-05,7.10E-05,7082199.8,503.44
10/24/2018,XRPBTC,7.18E-05,7.26E-05,7.03E-05,7.07E-05,6846667.36,488.33
10/23/2018,XRPBTC,7.02E-05,7.41E-05,6.78E-05,7.18E-05,17226919.06,1197.89
10/22/2018,XRPBTC,7.05E-05,7.08E-05,6.96E-05,7.02E-05,5664720.52,396.4
10/21/2018,XRPBTC,7.11E-05,7.15E-05,7.04E-05,7.05E-05,1271357.14,90.26
10/20/2018,XRPBTC,7.05E-05,7.19E-05,7.01E-05,7.11E-05,2382455.78,169.66
10/19/2018,XRPBTC,7.08E-05,7.11E-05,6.97E-05,7.05E-05,2940746.13,206.65
10/18/2018,XRPBTC,7.19E-05,7.29E-05,6.90E-05,7.08E-05,4424244.67,311.86
10/17/2018,XRPBTC,7.17E-05,7.36E-05,7.06E-05,7.19E-05,6630687.86,477.53
10/16/2018,XRPBTC,6.82E-05,6.85E-05,6.80E-05,6.82E-05,127039.37,8.64
10/15/2018,XRPBTC,6.48E-05,6.94E-05,6.32E-05,6.82E-05,25985699.5,1743.6
10/14/2018,XRPBTC,6.67E-05,6.76E-05,6.37E-05,6.48E-05,5351379.61,353.04
10/13/2018,XRPBTC,6.69E-05,6.81E-05,6.60E-05,6.67E-05,4771112.89,319.02
10/12/2018,XRPBTC,6.12E-05,7.06E-05,6.08E-05,6.69E-05,23825472.62,1604.15
10/11/2018,XRPBTC,7.04E-05,7.06E-05,6.08E-05,6.12E-05,37722227.28,2498.24
10/10/2018,XRPBTC,7.24E-05,7.24E-05,6.98E-05,7.04E-05,6122204.85,435.27
10/9/2018,XRPBTC,7.38E-05,7.39E-05,7.12E-05,7.24E-05,6982043.84,504.84
10/8/2018,XRPBTC,7.31E-05,7.50E-05,7.27E-05,7.38E-05,7812010.62,577.29
